
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.04, para_abu: 0.9, para_sv_a: 0.008, para_orth: 0.007, para_reg: 0.005, para_minvol: 0.008, para_sv_L: 90, WD: 4e-05, RE: 0.0695, SAD: 0.3634, Class1_sad: 0.2438, Class2_sad: 0.2002, Class3_sad: 0.6463, RMSE: 0.1586, Class1_mse: 0.1517, Class2_mse: 0.1505, Class3_mse: 0.1727, TIME:2023-05-10 12:15:46
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.08, para_abu: 0.5, para_sv_a: 0.004, para_orth: 0.009, para_reg: 0.005, para_minvol: 0.004, para_sv_L: 90, WD: 4e-05, RE: 0.0907, SAD: 0.4019, Class1_sad: 0.2609, Class2_sad: 0.2066, Class3_sad: 0.7382, RMSE: 0.2634, Class1_mse: 0.3385, Class2_mse: 0.1709, Class3_mse: 0.2538, TIME:2023-05-10 12:16:22
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.02, para_abu: 700.0, para_sv_a: 0.006, para_orth: 0.005, para_reg: 0.005, para_minvol: 0.008, para_sv_L: 90, WD: 4e-05, RE: 0.0672, SAD: 0.6228, Class1_sad: 0.2583, Class2_sad: 0.1953, Class3_sad: 1.4149, RMSE: 0.4068, Class1_mse: 0.4117, Class2_mse: 0.3053, Class3_mse: 0.4835, TIME:2023-05-10 12:16:56
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.02, para_abu: 0.6000000000000001, para_sv_a: 0.004, para_orth: 0.005, para_reg: 0.005, para_minvol: 0.004, para_sv_L: 90, WD: 4e-05, RE: 0.0788, SAD: 0.5832, Class1_sad: 0.2308, Class2_sad: 0.1827, Class3_sad: 1.3360, RMSE: 0.3272, Class1_mse: 0.3217, Class2_mse: 0.2651, Class3_mse: 0.3839, TIME:2023-05-10 12:17:32
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.06, para_abu: 0.05, para_sv_a: 0.01, para_orth: 0.007, para_reg: 0.005, para_minvol: 0.006, para_sv_L: 90, WD: 4e-05, RE: 0.0946, SAD: 0.4653, Class1_sad: 0.2247, Class2_sad: 0.1785, Class3_sad: 0.9928, RMSE: 0.0728, Class1_mse: 0.0771, Class2_mse: 0.0725, Class3_mse: 0.0684, TIME:2023-05-10 12:18:07
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.02, para_abu: 0.15000000000000002, para_sv_a: 0.008, para_orth: 0.005, para_reg: 0.005, para_minvol: 0.008, para_sv_L: 90, WD: 4e-05, RE: 0.0557, SAD: 0.4465, Class1_sad: 0.2622, Class2_sad: 0.1887, Class3_sad: 0.8885, RMSE: 0.3393, Class1_mse: 0.4034, Class2_mse: 0.1440, Class3_mse: 0.4025, TIME:2023-05-10 12:18:42
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.08, para_abu: 400.0, para_sv_a: 0.002, para_orth: 0.005, para_reg: 0.005, para_minvol: 0.002, para_sv_L: 90, WD: 4e-05, RE: 0.1103, SAD: 0.4828, Class1_sad: 0.2295, Class2_sad: 0.1887, Class3_sad: 1.0301, RMSE: 0.1431, Class1_mse: 0.1318, Class2_mse: 0.1296, Class3_mse: 0.1650, TIME:2023-05-10 12:19:17
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.08, para_abu: 0.8, para_sv_a: 0.006, para_orth: 0.007, para_reg: 0.005, para_minvol: 0.006, para_sv_L: 90, WD: 4e-05, RE: 0.0902, SAD: 0.5934, Class1_sad: 0.2354, Class2_sad: 0.1978, Class3_sad: 1.3471, RMSE: 0.3303, Class1_mse: 0.3423, Class2_mse: 0.2410, Class3_mse: 0.3899, TIME:2023-05-10 12:19:53
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.04, para_abu: 0.0, para_sv_a: 0.002, para_orth: 0.005, para_reg: 0.005, para_minvol: 0.002, para_sv_L: 90, WD: 4e-05, RE: 0.0906, SAD: 0.4274, Class1_sad: 0.2334, Class2_sad: 0.1917, Class3_sad: 0.8571, RMSE: 0.2490, Class1_mse: 0.2965, Class2_mse: 0.1233, Class3_mse: 0.2879, TIME:2023-05-10 12:20:28
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.04, para_abu: 500.0, para_sv_a: 0.008, para_orth: 0.007, para_reg: 0.005, para_minvol: 0.0, para_sv_L: 90, WD: 4e-05, RE: 0.0885, SAD: 0.5859, Class1_sad: 0.2474, Class2_sad: 0.1699, Class3_sad: 1.3403, RMSE: 0.3477, Class1_mse: 0.3775, Class2_mse: 0.2688, Class3_mse: 0.3847, TIME:2023-05-10 12:21:03
