
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.06, para_abu: 0.002, para_sv_a: 0.01, para_orth: 0.001, para_reg: 0.005, para_minvol: 1.0, para_sv_L: 80, WD: 4e-05, RE: 0.0698, SAD: 0.4129, Class1_sad: 0.2497, Class2_sad: 0.1864, Class3_sad: 0.8026, RMSE: 0.3182, Class1_mse: 0.3824, Class2_mse: 0.1210, Class3_mse: 0.3779, TIME:2023-05-08 17:01:14
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.08, para_abu: 0.004, para_sv_a: 0.008, para_orth: 0.001, para_reg: 0.005, para_minvol: 0.2, para_sv_L: 90, WD: 4e-05, RE: 0.1001, SAD: 0.5289, Class1_sad: 0.2585, Class2_sad: 0.1947, Class3_sad: 1.1334, RMSE: 0.3269, Class1_mse: 0.3971, Class2_mse: 0.1234, Class3_mse: 0.3842, TIME:2023-05-08 17:01:50
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.04, para_abu: 0.01, para_sv_a: 0.01, para_orth: 0.001, para_reg: 0.0035, para_minvol: 0.8, para_sv_L: 100, WD: 4e-05, RE: 0.0984, SAD: 0.4593, Class1_sad: 0.2371, Class2_sad: 0.1928, Class3_sad: 0.9482, RMSE: 0.1439, Class1_mse: 0.1798, Class2_mse: 0.1039, Class3_mse: 0.1377, TIME:2023-05-08 17:02:25
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.06, para_abu: 0.002, para_sv_a: 0.004, para_orth: 0.006333333333333333, para_reg: 0.0035, para_minvol: 1.0, para_sv_L: 90, WD: 4e-05, RE: 0.1025, SAD: 0.5749, Class1_sad: 0.2271, Class2_sad: 0.1910, Class3_sad: 1.3065, RMSE: 0.3314, Class1_mse: 0.3403, Class2_mse: 0.2388, Class3_mse: 0.3958, TIME:2023-05-08 17:03:01
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.06, para_abu: 0.01, para_sv_a: 0.004, para_orth: 0.001, para_reg: 0.006500000000000001, para_minvol: 0.4, para_sv_L: 90, WD: 4e-05, RE: 0.0973, SAD: 0.4738, Class1_sad: 0.2498, Class2_sad: 0.1913, Class3_sad: 0.9802, RMSE: 0.2410, Class1_mse: 0.3155, Class2_mse: 0.1727, Class3_mse: 0.2118, TIME:2023-05-08 17:03:37
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.04, para_abu: 0.008, para_sv_a: 0.004, para_orth: 0.0036666666666666666, para_reg: 0.008, para_minvol: 1.0, para_sv_L: 80, WD: 4e-05, RE: 0.0727, SAD: 0.4784, Class1_sad: 0.2233, Class2_sad: 0.1852, Class3_sad: 1.0268, RMSE: 0.1071, Class1_mse: 0.1272, Class2_mse: 0.0954, Class3_mse: 0.0955, TIME:2023-05-08 17:04:13
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.08, para_abu: 0.006, para_sv_a: 0.004, para_orth: 0.001, para_reg: 0.005, para_minvol: 1.0, para_sv_L: 100, WD: 4e-05, RE: 0.0821, SAD: 0.4117, Class1_sad: 0.2255, Class2_sad: 0.1864, Class3_sad: 0.8230, RMSE: 0.1174, Class1_mse: 0.0932, Class2_mse: 0.1179, Class3_mse: 0.1370, TIME:2023-05-08 17:04:48
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.02, para_abu: 0.01, para_sv_a: 0.006, para_orth: 0.009, para_reg: 0.006500000000000001, para_minvol: 1.0, para_sv_L: 90, WD: 4e-05, RE: 0.0500, SAD: 0.4048, Class1_sad: 0.2278, Class2_sad: 0.2008, Class3_sad: 0.7857, RMSE: 0.1534, Class1_mse: 0.1554, Class2_mse: 0.1503, Class3_mse: 0.1544, TIME:2023-05-08 17:05:23
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.02, para_abu: 0.006, para_sv_a: 0.002, para_orth: 0.0036666666666666666, para_reg: 0.002, para_minvol: 0.2, para_sv_L: 80, WD: 4e-05, RE: 0.0590, SAD: 0.5674, Class1_sad: 0.2313, Class2_sad: 0.1728, Class3_sad: 1.2981, RMSE: 0.4014, Class1_mse: 0.4250, Class2_mse: 0.2419, Class3_mse: 0.4943, TIME:2023-05-08 17:05:58
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.06, para_abu: 0.002, para_sv_a: 0.008, para_orth: 0.0036666666666666666, para_reg: 0.002, para_minvol: 0.4, para_sv_L: 100, WD: 4e-05, RE: 0.1065, SAD: 0.5336, Class1_sad: 0.2496, Class2_sad: 0.1619, Class3_sad: 1.1895, RMSE: 0.3820, Class1_mse: 0.4001, Class2_mse: 0.2626, Class3_mse: 0.4568, TIME:2023-05-08 17:06:33
