LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.01, para_abu: 0.001, para_sv_a: 0.001, para_orth: 0.008, para_reg: 0.008, para_sv_L: 100, WD: 4e-05, RE: 0.0539, SAD: 0.4709, RMSE: 0.2537, Class1_mse: 0.3143, Class2_mse: 0.1468, Class3_mse: 0.2698, TIME:2023-05-07 20:01:09
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.01, para_abu: 0.001, para_sv_a: 0.002, para_orth: 0.001, para_reg: 0.001, para_sv_L: 100, WD: 4e-05, RE: 0.0587, SAD: 0.2817, RMSE: 0.3969, Class1_mse: 0.4027, Class2_mse: 0.2941, Class3_mse: 0.4733, TIME:2023-05-07 20:01:45
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.01, para_abu: 0.001, para_sv_a: 0.002, para_orth: 0.001, para_reg: 0.00275, para_sv_L: 100, WD: 4e-05, RE: 0.0430, SAD: 0.5740, RMSE: 0.2024, Class1_mse: 0.2562, Class2_mse: 0.1178, Class3_mse: 0.2083, TIME:2023-05-07 20:02:21
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.01, para_abu: 0.001, para_sv_a: 0.002, para_orth: 0.001, para_reg: 0.0045000000000000005, para_sv_L: 100, WD: 4e-05, RE: 0.0247, SAD: 0.5589, RMSE: 0.3936, Class1_mse: 0.4264, Class2_mse: 0.1989, Class3_mse: 0.4934, TIME:2023-05-07 20:03:01
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.01, para_abu: 0.001, para_sv_a: 0.002, para_orth: 0.001, para_reg: 0.00625, para_sv_L: 100, WD: 4e-05, RE: 0.0602, SAD: 0.6046, RMSE: 0.4408, Class1_mse: 0.4213, Class2_mse: 0.3163, Class3_mse: 0.5526, TIME:2023-05-07 20:03:56
LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.01, para_abu: 0.001, para_sv_a: 0.002, para_orth: 0.008, para_reg: 0.001, para_sv_L: 100, WD: 4e-05, RE: 0.0662, SAD: 0.6064, RMSE: 0.3833, Class1_mse: 0.3676, Class2_mse: 0.3067, Class3_mse: 0.4600, TIME:2023-05-07 20:05:50
LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.01, para_abu: 0.001, para_sv_a: 0.002, para_orth: 0.008, para_reg: 0.00275, para_sv_L: 100, WD: 4e-05, RE: 0.0413, SAD: 0.5072, RMSE: 0.1756, Class1_mse: 0.2358, Class2_mse: 0.1347, Class3_mse: 0.1370, TIME:2023-05-07 20:06:49
LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.01, para_abu: 0.001, para_sv_a: 0.002, para_orth: 0.008, para_reg: 0.0045000000000000005, para_sv_L: 100, WD: 4e-05, RE: 0.0325, SAD: 0.3797, RMSE: 0.3634, Class1_mse: 0.4267, Class2_mse: 0.1292, Class3_mse: 0.4442, TIME:2023-05-07 20:07:56
LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.01, para_abu: 0.001, para_sv_a: 0.002, para_orth: 0.008, para_reg: 0.00625, para_sv_L: 100, WD: 4e-05, RE: 0.0490, SAD: 0.3906, RMSE: 0.3684, Class1_mse: 0.4281, Class2_mse: 0.1312, Class3_mse: 0.4546, TIME:2023-05-07 20:08:55
LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.01, para_abu: 0.001, para_sv_a: 0.002, para_orth: 0.008, para_reg: 0.008, para_sv_L: 100, WD: 4e-05, RE: 0.0329, SAD: 0.3630, RMSE: 0.2569, Class1_mse: 0.2962, Class2_mse: 0.1802, Class3_mse: 0.2790, TIME:2023-05-07 20:09:54
