
DataSet: apex, LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.3, para_abu: 0.002, para_sv_a: 0.003, para_orth: 0.004, para_reg: 0.001, para_sv_L: 90, para_minvol: 0.4, WD: 4e-05, RE: 0.1079, SAD: 0.8450, Class1_sad: 1.5188, Class2_sad: 0.2321, Class3_sad: 0.2144, RMSE: 0.2790, Class1_mse: 0.3713, Class2_mse: 0.1791, Class3_mse: 0.1268, TIME:2023-06-15 10:31:35
DataSet: apex, LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.3, para_abu: 0.007, para_sv_a: 0.004, para_orth: 0.01, para_reg: 0.005, para_sv_L: 90, para_minvol: 0.6000000000000001, WD: 4e-05, RE: 0.1188, SAD: 0.4776, Class1_sad: 0.1496, Class2_sad: 0.2358, Class3_sad: 0.1758, RMSE: 0.3497, Class1_mse: 0.4772, Class2_mse: 0.1752, Class3_mse: 0.1221, TIME:2023-06-15 10:33:11
DataSet: apex, LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.3, para_abu: 0.001, para_sv_a: 0.004, para_orth: 0.008, para_reg: 0.002, para_sv_L: 90, para_minvol: 0.6000000000000001, WD: 4e-05, RE: 0.1258, SAD: 0.6013, Class1_sad: 0.6920, Class2_sad: 0.2372, Class3_sad: 0.1747, RMSE: 0.3547, Class1_mse: 0.5015, Class2_mse: 0.1625, Class3_mse: 0.1291, TIME:2023-06-15 10:34:47
DataSet: apex, LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.3, para_abu: 0.006, para_sv_a: 0.002, para_orth: 0.001, para_reg: 0.01, para_sv_L: 90, para_minvol: 0.4, WD: 4e-05, RE: 0.1227, SAD: 0.4807, Class1_sad: 0.1496, Class2_sad: 0.2407, Class3_sad: 0.1923, RMSE: 0.3631, Class1_mse: 0.4741, Class2_mse: 0.1933, Class3_mse: 0.1427, TIME:2023-06-15 10:36:21
DataSet: apex, LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.3, para_abu: 0.006, para_sv_a: 0.007, para_orth: 0.008, para_reg: 0.003, para_sv_L: 90, para_minvol: 0.4, WD: 4e-05, RE: 0.1273, SAD: 0.4662, Class1_sad: 0.1496, Class2_sad: 0.2403, Class3_sad: 0.1599, RMSE: 0.3551, Class1_mse: 0.4959, Class2_mse: 0.1695, Class3_mse: 0.1402, TIME:2023-06-15 10:37:56
DataSet: apex, LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.3, para_abu: 0.008, para_sv_a: 0.01, para_orth: 0.007, para_reg: 0.002, para_sv_L: 90, para_minvol: 1.0, WD: 4e-05, RE: 0.1309, SAD: 0.4537, Class1_sad: 0.1496, Class2_sad: 0.2340, Class3_sad: 0.1722, RMSE: 0.3528, Class1_mse: 0.5012, Class2_mse: 0.1389, Class3_mse: 0.1227, TIME:2023-06-15 10:39:31
DataSet: apex, LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.3, para_abu: 0.01, para_sv_a: 0.01, para_orth: 0.01, para_reg: 0.002, para_sv_L: 90, para_minvol: 0.4, WD: 4e-05, RE: 0.1478, SAD: 0.7894, Class1_sad: 1.3918, Class2_sad: 0.2398, Class3_sad: 0.1911, RMSE: 0.3523, Class1_mse: 0.4937, Class2_mse: 0.1716, Class3_mse: 0.1171, TIME:2023-06-15 10:41:07
DataSet: apex, LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.3, para_abu: 0.001, para_sv_a: 0.001, para_orth: 0.003, para_reg: 0.008, para_sv_L: 90, para_minvol: 0.8, WD: 4e-05, RE: 0.1282, SAD: 0.4629, Class1_sad: 0.1496, Class2_sad: 0.2346, Class3_sad: 0.1768, RMSE: 0.3549, Class1_mse: 0.4969, Class2_mse: 0.1656, Class3_mse: 0.1328, TIME:2023-06-15 10:42:44
DataSet: apex, LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.3, para_abu: 0.01, para_sv_a: 0.002, para_orth: 0.003, para_reg: 0.001, para_sv_L: 90, para_minvol: 0.6000000000000001, WD: 4e-05, RE: 0.1084, SAD: 0.4824, Class1_sad: 0.1496, Class2_sad: 0.2348, Class3_sad: 0.1771, RMSE: 0.3422, Class1_mse: 0.4698, Class2_mse: 0.1613, Class3_mse: 0.1434, TIME:2023-06-15 10:44:20
DataSet: apex, LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.3, para_abu: 0.006, para_sv_a: 0.009000000000000001, para_orth: 0.004, para_reg: 0.008, para_sv_L: 90, para_minvol: 0.8, WD: 4e-05, RE: 0.1135, SAD: 0.7832, Class1_sad: 1.4593, Class2_sad: 0.2299, Class3_sad: 0.1613, RMSE: 0.3538, Class1_mse: 0.4974, Class2_mse: 0.1634, Class3_mse: 0.1322, TIME:2023-06-15 10:45:57
